timestamp,weekday,holiday,location
16,1,0,5
16,1,0,30
16,1,0,35
16,1,0,89
16,1,0,94
16,1,0,103
16,1,0,116
16,1,0,9
16,1,0,15
16,1,0,40
16,1,0,48
16,1,0,104
16,1,0,4
16,1,0,6
16,1,0,8
16,1,0,10
16,1,0,11
16,1,0,17
16,1,0,18
16,1,0,19
16,1,0,21
16,1,0,28
16,1,0,31
16,1,0,32
16,1,0,36
16,1,0,38
16,1,0,44
16,1,0,45
16,1,0,51
16,1,0,53
16,1,0,54
16,1,0,56
16,1,0,58
16,1,0,60
16,1,0,61
16,1,0,62
16,1,0,63
16,1,0,66
16,1,0,71
16,1,0,77
16,1,0,79
16,1,0,81
16,1,0,83
16,1,0,85
16,1,0,91
16,1,0,101
16,1,0,102
16,1,0,106
16,1,0,111
16,1,0,112
16,1,0,113
16,1,0,115
16,1,0,117
16,1,0,119
16,1,0,2
16,1,0,3
16,1,0,14
16,1,0,22
16,1,0,27
16,1,0,29
16,1,0,43
16,1,0,55
16,1,0,57
16,1,0,67
16,1,0,70
16,1,0,74
16,1,0,78
16,1,0,80
16,1,0,84
16,1,0,90
16,1,0,93
16,1,0,105
16,1,0,108
16,1,0,109
16,1,0,114
16,1,0,0
16,1,0,1
16,1,0,7
16,1,0,12
16,1,0,13
16,1,0,16
16,1,0,20
16,1,0,23
16,1,0,25
16,1,0,26
16,1,0,33
16,1,0,34
16,1,0,37
16,1,0,41
16,1,0,47
16,1,0,49
16,1,0,50
16,1,0,52
16,1,0,68
16,1,0,72
16,1,0,73
16,1,0,75
16,1,0,86
16,1,0,87
16,1,0,88
16,1,0,98
16,1,0,99
16,1,0,100
16,1,0,107
16,1,0,110
16,1,0,42
16,1,0,24
16,1,0,92
16,1,0,64
16,1,0,96
16,1,0,97
16,1,0,95
16,1,0,59
16,1,0,65
16,1,0,39
16,1,0,46
16,1,0,69
16,1,0,76
16,1,0,82
16,1,0,118
17,1,0,5
17,1,0,30
17,1,0,35
17,1,0,89
17,1,0,94
17,1,0,103
17,1,0,116
17,1,0,9
17,1,0,15
17,1,0,40
17,1,0,48
17,1,0,104
17,1,0,4
17,1,0,6
17,1,0,8
17,1,0,10
17,1,0,11
17,1,0,17
17,1,0,18
17,1,0,19
17,1,0,21
17,1,0,28
17,1,0,31
17,1,0,32
17,1,0,36
17,1,0,38
17,1,0,44
17,1,0,45
17,1,0,51
17,1,0,53
17,1,0,54
17,1,0,56
17,1,0,58
17,1,0,60
17,1,0,61
17,1,0,62
17,1,0,63
17,1,0,66
17,1,0,71
17,1,0,77
17,1,0,79
17,1,0,81
17,1,0,83
17,1,0,85
17,1,0,91
17,1,0,101
17,1,0,102
17,1,0,106
17,1,0,111
17,1,0,112
17,1,0,113
17,1,0,115
17,1,0,117
17,1,0,119
17,1,0,2
17,1,0,3
17,1,0,14
17,1,0,22
17,1,0,27
17,1,0,29
17,1,0,43
17,1,0,55
17,1,0,57
17,1,0,67
17,1,0,70
17,1,0,74
17,1,0,78
17,1,0,80
17,1,0,84
17,1,0,90
17,1,0,93
17,1,0,105
17,1,0,108
17,1,0,109
17,1,0,114
17,1,0,0
17,1,0,1
17,1,0,7
17,1,0,12
17,1,0,13
17,1,0,16
17,1,0,20
17,1,0,23
17,1,0,25
17,1,0,26
17,1,0,33
17,1,0,34
17,1,0,37
17,1,0,41
17,1,0,47
17,1,0,49
17,1,0,50
17,1,0,52
17,1,0,68
17,1,0,72
17,1,0,73
17,1,0,75
17,1,0,86
17,1,0,87
17,1,0,88
17,1,0,98
17,1,0,99
17,1,0,100
17,1,0,107
17,1,0,110
17,1,0,42
17,1,0,24
17,1,0,92
17,1,0,64
17,1,0,96
17,1,0,97
17,1,0,95
17,1,0,59
17,1,0,65
17,1,0,39
17,1,0,46
17,1,0,69
17,1,0,76
17,1,0,82
17,1,0,118
18,1,0,5
18,1,0,30
18,1,0,35
18,1,0,89
18,1,0,94
18,1,0,103
18,1,0,116
18,1,0,9
18,1,0,15
18,1,0,40
18,1,0,48
18,1,0,104
18,1,0,4
18,1,0,6
18,1,0,8
18,1,0,10
18,1,0,11
18,1,0,17
18,1,0,18
18,1,0,19
18,1,0,21
18,1,0,28
18,1,0,31
18,1,0,32
18,1,0,36
18,1,0,38
18,1,0,44
18,1,0,45
18,1,0,51
18,1,0,53
18,1,0,54
18,1,0,56
18,1,0,58
18,1,0,60
18,1,0,61
18,1,0,62
18,1,0,63
18,1,0,66
18,1,0,71
18,1,0,77
18,1,0,79
18,1,0,81
18,1,0,83
18,1,0,85
18,1,0,91
18,1,0,101
18,1,0,102
18,1,0,106
18,1,0,111
18,1,0,112
18,1,0,113
18,1,0,115
18,1,0,117
18,1,0,119
18,1,0,2
18,1,0,3
18,1,0,14
18,1,0,22
18,1,0,27
18,1,0,29
18,1,0,43
18,1,0,55
18,1,0,57
18,1,0,67
18,1,0,70
18,1,0,74
18,1,0,78
18,1,0,80
18,1,0,84
18,1,0,90
18,1,0,93
18,1,0,105
18,1,0,108
18,1,0,109
18,1,0,114
18,1,0,0
18,1,0,1
18,1,0,7
18,1,0,12
18,1,0,13
18,1,0,16
18,1,0,20
18,1,0,23
18,1,0,25
18,1,0,26
18,1,0,33
18,1,0,34
18,1,0,37
18,1,0,41
18,1,0,47
18,1,0,49
18,1,0,50
18,1,0,52
18,1,0,68
18,1,0,72
18,1,0,73
18,1,0,75
18,1,0,86
18,1,0,87
18,1,0,88
18,1,0,98
18,1,0,99
18,1,0,100
18,1,0,107
18,1,0,110
18,1,0,42
18,1,0,24
18,1,0,92
18,1,0,64
18,1,0,96
18,1,0,97
18,1,0,95
18,1,0,59
18,1,0,65
18,1,0,39
18,1,0,46
18,1,0,69
18,1,0,76
18,1,0,82
18,1,0,118
19,1,0,5
19,1,0,30
19,1,0,35
19,1,0,89
19,1,0,94
19,1,0,103
19,1,0,116
19,1,0,9
19,1,0,15
19,1,0,40
19,1,0,48
19,1,0,104
19,1,0,4
19,1,0,6
19,1,0,8
19,1,0,10
19,1,0,11
19,1,0,17
19,1,0,18
19,1,0,19
19,1,0,21
19,1,0,28
19,1,0,31
19,1,0,32
19,1,0,36
19,1,0,38
19,1,0,44
19,1,0,45
19,1,0,51
19,1,0,53
19,1,0,54
19,1,0,56
19,1,0,58
19,1,0,60
19,1,0,61
19,1,0,62
19,1,0,63
19,1,0,66
19,1,0,71
19,1,0,77
19,1,0,79
19,1,0,81
19,1,0,83
19,1,0,85
19,1,0,91
19,1,0,101
19,1,0,102
19,1,0,106
19,1,0,111
19,1,0,112
19,1,0,113
19,1,0,115
19,1,0,117
19,1,0,119
19,1,0,2
19,1,0,3
19,1,0,14
19,1,0,22
19,1,0,27
19,1,0,29
19,1,0,43
19,1,0,55
19,1,0,57
19,1,0,67
19,1,0,70
19,1,0,74
19,1,0,78
19,1,0,80
19,1,0,84
19,1,0,90
19,1,0,93
19,1,0,105
